hike_region,total_distance,elevation_gain,hike_difficulty,stars,hike_id,loop,out_and_back,point_to_point,dog_friendly,kid_friendly,camping,waterfall,river,lake,wildflowers,wildlife,views
Arapaho National Forest,4.2,1008,2,3.9,hike0,1,0,0,1,0,1,1,1,0,1,0,0
Chautauqua Park,3.4,1651,3,4.4,hike1,0,1,0,1,0,0,0,0,0,1,0,1
Genesee Park,3.9,1008,2,4.4,hike2,1,0,0,1,0,0,1,1,0,0,1,0
Manitou Park Recreation Area,3.6,1976,3,4.7,hike3,1,0,0,0,0,0,0,0,0,1,1,1
Rocky Mountain National Park,3.3,767,1,4.6,hike4,0,1,0,0,1,0,0,1,1,1,1,1
White River National Forest,3.2,1214,2,4.6,hike5,0,1,0,0,1,0,1,1,1,1,1,1
Mount Falcon Park,7.9,1836,2,4.2,hike6,0,1,0,1,1,0,0,0,0,0,1,1
Boulder Mountain Park,3.3,1354,2,4.1,hike7,1,0,0,1,1,0,0,0,0,1,1,1
Pike National Forest,8.2,2149,2,4.7,hike8,0,1,0,1,0,0,1,1,1,1,1,1
Arapaho National Forest,7.3,2767,3,4.3,hike9,0,1,0,1,0,0,0,0,1,1,1,1
North Cheyenne Park,3.8,1181,2,4.3,hike10,1,0,0,1,1,0,0,1,0,1,0,1
Pike National Forest,2.7,958,2,4.5,hike11,0,1,0,1,1,0,0,0,0,1,1,1
Roosevelt National Forest,5.7,1324,2,4.7,hike12,0,1,0,1,1,0,0,0,1,1,1,1
Chautauqua Park,2.8,1512,3,4.3,hike13,1,0,0,1,0,0,0,0,0,1,0,1
Rocky Mountain National Park,5.5,1494,3,4.1,hike14,0,1,0,1,0,1,0,0,1,1,1,1
White River National Forest,3.9,1384,2,4.4,hike15,0,1,0,1,1,0,1,0,0,1,0,1
North Cheyenne Park,5.2,1385,2,4.4,hike16,0,1,0,1,1,1,1,0,0,1,0,1
Red Rock Canyon Open Space,3.4,1003,1,4.3,hike17,1,0,0,1,1,0,0,0,0,1,1,1
Apex Open Space Park,7.5,1735,2,3.9,hike18,1,0,0,1,0,0,0,1,0,1,1,1
Alderfer / Three Sisters Park,6.9,1248,1,4.1,hike19,1,0,0,1,1,0,0,0,0,1,1,1
Rocky Mountain National Park,5.2,1061,2,4.4,hike20,0,1,0,0,1,0,1,1,0,1,1,0
Arapaho National Forest,1.4,438,1,4.4,hike21,0,1,0,1,1,1,0,0,1,0,0,1
Horsetooth Mountain Park,6.0,1685,2,4.1,hike22,1,0,0,1,0,0,1,0,0,1,1,1
Boulder Mountain Park,7.7,3019,3,4.5,hike23,0,1,0,1,0,0,0,0,0,1,1,1
White River National Forest,3.2,928,2,4.6,hike24,0,1,0,1,0,0,1,1,1,1,1,1
Red Rocks Park,4.5,755,1,4.0,hike25,1,0,0,1,1,0,0,0,0,0,0,1
Eldorado Canyon State Park,6.6,2253,2,4.2,hike26,0,1,0,1,1,0,0,0,0,1,1,1
Rocky Mountain National Park,8.4,1838,3,4.9,hike27,0,1,0,0,0,0,1,1,1,1,1,1
Roosevelt National Forest,5.4,1444,3,4.5,hike28,0,1,0,1,0,1,0,1,1,1,1,1
Jefferson County Open Space,4.2,961,2,4.0,hike29,1,0,0,0,0,0,0,0,0,0,0,0
Rocky Mountain National Park,1.7,312,1,4.3,hike30,0,1,0,0,1,0,1,1,0,1,1,1
White River National Forest,6.2,3347,3,4.3,hike31,0,1,0,1,0,1,0,1,1,1,1,1
Arapaho National Forest,6.4,1786,2,4.6,hike32,0,1,0,1,0,0,0,1,1,1,1,1
Pike National Forest,23.0,7508,3,4.5,hike33,0,1,0,1,0,1,0,1,0,1,1,1
Indian Peaks Wilderness,4.5,479,1,4.5,hike34,1,0,0,1,1,0,1,0,1,1,1,1
Rocky Mountain National Park,0.7,59,1,4.2,hike35,1,0,0,0,1,0,1,1,1,1,1,1
Indian Peaks Wilderness,3.6,853,2,4.3,hike36,0,1,0,1,0,0,0,0,1,1,1,1
Rocky Mountain National Park Wilderness,7.9,2584,2,4.7,hike37,0,1,0,0,0,0,1,0,1,0,1,1
Windy Saddle Open Space Park,11.5,2586,3,4.2,hike38,0,1,0,1,0,1,0,1,1,1,1,1
Red Rocks Park,1.5,388,1,3.9,hike39,1,0,0,1,1,0,0,0,0,0,1,1
Pike National Forest,4.9,952,2,4.6,hike40,0,1,0,1,1,1,0,0,0,1,1,1
Castlewood Canyon State Park,1.7,225,1,4.1,hike41,1,0,0,1,1,0,1,1,1,1,1,1
South Dinosaur Park,5.9,1190,3,4.0,hike42,1,0,0,1,0,0,0,0,0,1,1,1
Pike National Forest,5.5,732,2,4.3,hike43,1,0,0,1,1,0,0,0,0,1,1,1
North Cheyenne Park,1.8,499,1,4.2,hike44,0,1,0,1,1,0,0,0,0,1,1,1
Rocky Mountain National Park,13.6,4998,3,4.8,hike45,0,1,0,0,0,0,0,1,1,1,1,1
Arapaho National Forest,4.8,1592,3,4.5,hike46,0,1,0,1,0,0,1,1,0,1,1,1
Arapaho National Forest,3.9,1151,2,4.5,hike47,0,1,0,1,0,0,1,0,1,1,1,1
Arapaho National Forest,2.8,989,1,4.6,hike48,0,1,0,1,1,0,0,0,0,1,1,1
Maroon Bells Snowmass Wilderness,3.9,808,2,4.7,hike49,0,1,0,1,1,1,0,0,1,1,1,1
Boulder Mountain Park,6.0,2884,3,4.2,hike50,1,0,0,1,0,0,0,0,0,1,0,1
Echo Lake Park,8.7,1972,3,4.6,hike51,0,1,0,0,0,0,0,1,1,1,1,1
White River National Forest,3.3,459,1,4.0,hike52,0,1,0,1,1,0,0,0,1,1,1,0
