hike_id,variable,value
hike43,user1,4
hike6,user1,4
hike137,user10,5
hike7,user100,4
hike33,user1000,4
hike58,user10000,5
hike360,user10001,5
hike0,user10002,3
hike129,user10003,5
hike154,user10003,4
hike68,user10004,4
hike199,user10005,4
hike0,user10006,4
hike485,user10007,4
hike0,user10008,2
hike45,user10008,5
hike22,user10009,4
hike24,user1001,5
hike35,user1001,4
hike4,user1001,5
hike8,user1001,5
hike462,user10010,2
hike35,user10011,5
hike4,user10011,4
hike1,user10012,4
hike11,user10013,4
hike407,user10013,5
hike5,user10013,4
hike542,user10013,5
hike97,user10013,3
hike121,user10014,4
hike206,user10014,3
hike761,user10014,4
hike12,user10015,5
hike654,user10015,4
hike85,user10015,5
hike757,user10016,5
hike16,user10017,4
hike3,user10018,5
hike93,user10019,4
hike441,user1002,5
hike48,user10020,5
hike389,user10021,5
hike475,user10021,5
hike1056,user10022,2
hike390,user10022,5
hike854,user10022,5
hike1439,user10023,5
hike28,user10024,5
hike734,user10025,5
hike879,user10025,5
hike592,user10026,5
hike640,user10026,5
hike201,user10027,4
hike132,user10028,3
hike46,user10029,5
hike24,user1003,5
hike438,user1003,3
hike148,user10030,5
hike121,user10031,4
hike218,user10032,4
hike5,user10033,5
hike34,user10034,5
hike61,user10035,5
hike567,user10036,4
hike142,user10037,5
hike1,user10038,4
hike240,user10038,4
hike27,user10038,5
hike286,user10038,4
hike60,user10038,5
hike627,user10038,5
hike14,user10039,4
hike528,user1004,1
hike742,user1004,1
hike177,user10040,3
hike374,user10041,4
hike385,user10041,3
hike976,user10042,3
hike1,user10043,5
hike122,user10043,4
hike1397,user10043,3
hike15,user10043,5
hike199,user10043,5
hike336,user10043,5
hike399,user10043,5
hike6,user10043,5
hike9,user10043,4
hike91,user10043,5
hike2,user10044,3
hike236,user10045,4
hike151,user10046,4
hike90,user10047,3
hike12,user10048,5
hike28,user10048,5
hike32,user10048,5
hike46,user10048,5
hike6,user10049,5
hike64,user10049,5
hike2,user1005,4
hike525,user10050,3
hike108,user10051,5
hike38,user10052,4
hike165,user10053,4
hike214,user10053,4
hike833,user10053,3
hike8,user10054,5
hike12,user10055,5
hike184,user10056,5
hike655,user10057,5
hike1097,user10058,4
hike1136,user10058,4
hike1378,user10058,4
hike402,user10058,4
hike437,user10058,3
hike562,user10058,4
hike36,user10059,4
hike1,user1006,5
hike18,user1006,4
hike25,user1006,4
hike534,user10060,4
hike634,user10061,4
hike5,user10062,4
hike868,user10062,4
hike14,user10063,5
hike36,user10064,4
hike588,user10064,4
hike903,user10065,5
hike260,user10066,5
hike1028,user10067,3
hike106,user10067,3
hike1373,user10067,3
hike14,user10067,3
hike144,user10067,4
hike147,user10067,4
hike30,user10067,3
hike342,user10067,4
hike4,user10067,4
hike454,user10067,3
hike455,user10067,3
hike509,user10067,3
hike60,user10067,4
hike627,user10067,4
hike754,user10067,5
hike777,user10067,3
hike79,user10067,3
hike95,user10067,3
hike621,user10068,4
hike3,user10069,4
hike50,user10069,4
hike7,user10069,4
hike39,user1007,3
hike138,user10070,4
hike31,user10070,4
hike8,user10070,5
hike12,user10071,5
hike614,user10072,5
hike12,user10073,5
hike154,user10074,5
hike288,user10074,3
hike381,user10074,4
hike115,user10075,3
hike636,user10075,3
hike157,user10076,3
hike17,user10076,3
hike411,user10076,4
hike43,user10076,5
hike65,user10076,3
hike71,user10076,3
hike74,user10076,5
hike75,user10076,4
hike93,user10076,3
hike225,user10077,4
hike23,user10077,4
hike35,user10077,5
hike62,user10077,5
hike78,user10077,4
hike1092,user10078,3
hike125,user10079,4
hike1352,user1008,4
hike962,user1008,1
hike70,user10080,4
hike24,user10081,4
hike260,user10082,5
hike262,user10082,5
hike31,user10082,3
hike10,user10083,2
hike16,user10083,4
hike206,user10083,4
hike3,user10083,4
hike187,user10084,3
hike1,user10085,5
hike63,user10085,4
hike348,user10086,5
hike51,user10087,4
hike440,user10088,5
hike120,user10089,5
hike140,user10089,4
hike20,user10089,4
hike30,user10089,4
hike70,user10089,5
hike213,user1009,5
hike11,user10090,5
hike140,user10090,5
hike209,user10090,4
hike4,user10090,5
hike7,user10091,4
hike2,user10092,5
hike26,user10092,5
hike29,user10092,3
hike64,user10092,3
hike252,user10093,5
hike94,user10093,5
hike974,user10093,1
hike601,user10094,5
hike339,user10095,3
hike69,user10095,4
hike224,user10096,3
hike208,user10097,4
hike220,user10098,5
hike83,user10099,5
hike556,user101,3
hike262,user1010,5
hike0,user10100,4
hike139,user10100,4
hike1452,user10100,3
hike20,user10100,4
hike231,user10100,4
hike26,user10100,4
hike296,user10100,5
hike32,user10100,5
hike36,user10100,4
hike523,user10100,5
hike67,user10100,5
hike88,user10100,4
