hike_id,variable,value
hike43,user1,4
hike6,user1,4
hike132,user10,4
hike24,user100,5
hike0,user1000,4
hike6,user1000,5
hike148,user10000,2
hike208,user10001,4
hike213,user10001,5
hike34,user10001,4
hike55,user10002,5
hike146,user10003,3
hike198,user10003,3
hike0,user10004,4
hike119,user10004,4
hike12,user10004,5
hike308,user10004,5
hike36,user10004,4
hike38,user10004,4
hike21,user10005,5
hike34,user10005,4
hike47,user10005,5
hike213,user10006,5
hike231,user10006,5
hike40,user10006,4
hike44,user10006,5
hike183,user10007,3
hike11,user10008,5
hike214,user10008,4
hike393,user10008,4
hike432,user10008,5
hike104,user10009,4
hike11,user10009,5
hike143,user10009,5
hike15,user10009,5
hike152,user10009,5
hike250,user10009,5
hike279,user10009,5
hike425,user10009,5
hike1,user1001,4
hike301,user10010,4
hike21,user10011,5
hike373,user10011,3
hike38,user10012,4
hike196,user10013,3
hike1,user10014,4
hike55,user10015,5
hike18,user10016,4
hike181,user10017,5
hike71,user10018,4
hike58,user10019,5
hike1,user1002,4
hike31,user1002,5
hike192,user10020,4
hike34,user10020,5
hike215,user10021,4
hike106,user10022,4
hike145,user10022,5
hike35,user10022,5
hike8,user10022,5
hike82,user10022,5
hike425,user10023,4
hike236,user10024,5
hike2,user10025,5
hike230,user10026,5
hike252,user10026,4
hike98,user10026,3
hike0,user10027,4
hike28,user10027,3
hike355,user10028,3
hike4,user10028,4
hike348,user10029,3
hike105,user1003,5
hike138,user1003,4
hike14,user1003,4
hike147,user1003,3
hike174,user1003,5
hike184,user1003,4
hike226,user1003,4
hike233,user1003,5
hike243,user1003,4
hike248,user1003,3
hike27,user1003,5
hike30,user1003,4
hike306,user1003,5
hike338,user1003,4
hike345,user1003,3
hike35,user1003,4
hike4,user1003,5
hike57,user1003,5
hike70,user1003,5
hike79,user1003,3
hike86,user1003,4
hike95,user1003,4
hike7,user10030,5
hike17,user10031,5
hike11,user10032,5
hike177,user10033,4
hike4,user10034,4
hike16,user10035,5
hike5,user10036,5
hike107,user10037,4
hike195,user10038,2
hike269,user10038,5
hike323,user10038,4
hike37,user10038,1
hike388,user10038,5
hike6,user10038,4
hike3,user10039,5
hike320,user1004,5
hike137,user10040,5
hike11,user10041,5
hike402,user10042,4
hike128,user10043,4
hike225,user10043,5
hike381,user10043,4
hike438,user10044,5
hike59,user10045,3
hike69,user10045,4
hike7,user10045,4
hike12,user10046,4
hike34,user10046,4
hike24,user10047,5
hike68,user10047,4
hike84,user10048,4
hike20,user10049,4
hike53,user10049,4
hike95,user10049,4
hike280,user1005,4
hike34,user10050,5
hike1,user10051,3
hike29,user10051,4
hike72,user10051,3
hike184,user10052,5
hike85,user10052,4
hike21,user10053,4
hike15,user10054,5
hike150,user10055,5
hike444,user10055,4
hike221,user10056,4
hike230,user10057,4
hike156,user10058,4
hike38,user10058,3
hike72,user10058,3
hike39,user10059,4
hike125,user1006,5
hike402,user10060,4
hike303,user10061,5
hike92,user10061,3
hike219,user10062,1
hike34,user10063,5
hike412,user10064,4
hike426,user10064,5
hike15,user10065,4
hike256,user10066,5
hike61,user10066,4
hike14,user10067,4
hike163,user10068,5
hike24,user10069,4
hike209,user1007,4
hike103,user10070,4
hike189,user10070,5
hike0,user10071,4
hike138,user10072,5
hike9,user10073,5
hike45,user10074,5
hike5,user10075,4
hike11,user10076,5
hike302,user10076,4
hike60,user10077,5
hike124,user10078,4
hike418,user10078,5
hike47,user10079,5
hike59,user1008,3
hike67,user1008,5
hike0,user10080,5
hike16,user10080,5
hike41,user10080,4
hike6,user10080,4
hike9,user10080,4
hike19,user10081,5
hike34,user10082,5
hike390,user10083,5
hike150,user10084,5
hike8,user10085,4
hike33,user10086,4
hike45,user10086,4
hike60,user10086,5
hike62,user10086,4
hike0,user10087,4
hike163,user10087,5
hike19,user10087,4
hike221,user10087,3
hike285,user10087,3
hike6,user10087,4
hike86,user10087,4
hike1,user10088,5
hike64,user10089,4
hike48,user1009,4
hike95,user10090,5
hike105,user10091,5
hike4,user10091,5
hike411,user10092,3
hike416,user10092,4
hike1,user10093,5
hike3,user10094,5
hike1,user10095,5
hike39,user10096,4
hike10,user10097,5
hike115,user10097,4
hike202,user10097,5
hike71,user10097,4
hike90,user10097,5
hike362,user10098,5
hike8,user10099,5
hike18,user101,5
hike28,user1010,5
hike328,user10100,4
hike100,user10101,4
hike11,user10101,5
hike115,user10101,5
hike127,user10101,5
hike150,user10101,4
hike44,user10101,5
hike75,user10101,4
hike155,user10102,5
hike291,user10102,4
hike317,user10103,4
hike6,user10103,4
hike229,user10104,4
hike63,user10105,3
hike7,user10105,4
hike218,user10106,5
hike0,user10107,5
hike36,user10108,4
hike45,user10108,5
