hike_region,total_distance,elevation_gain,hike_difficulty,num_reviews,stars,hike_id,loop,out_and_back,point_to_point,dog_friendly,kid_friendly,camping,waterfall,river,lake,wildflowers,wildlife,views
Arapaho National Forest,4.2,1008,2,385,3.9,hike0,1,0,0,1,0,1,1,1,0,1,0,0
Chautauqua Park,3.4,1651,3,404,4.4,hike1,0,1,0,1,0,0,0,0,0,1,0,1
Genesee Park,3.9,1008,2,298,4.4,hike2,1,0,0,1,0,0,1,1,0,0,0,0
Manitou Park Recreation Area,3.6,1976,3,399,4.7,hike3,1,0,0,0,0,0,0,0,0,1,0,1
Rocky Mountain National Park,3.3,767,1,285,4.6,hike4,0,1,0,0,1,0,0,1,1,1,0,1
White River National Forest,3.2,1214,2,399,4.6,hike5,0,1,0,0,1,0,1,1,1,1,0,1
Mount Falcon Park,7.9,1836,2,233,4.2,hike6,0,1,0,1,1,0,0,0,0,0,0,1
Boulder Mountain Park,3.3,1354,2,241,4.1,hike7,1,0,0,1,1,0,0,0,0,1,0,1
Pike National Forest,8.2,2149,2,224,4.7,hike8,0,1,0,1,0,0,1,1,1,1,0,1
Arapaho National Forest,7.3,2767,3,246,4.3,hike9,0,1,0,1,0,0,0,0,1,1,0,1
North Cheyenne Park,3.8,1181,2,228,4.3,hike10,1,0,0,1,1,0,0,1,0,1,0,1
Pike National Forest,2.7,958,2,269,4.5,hike11,0,1,0,1,1,0,0,0,0,1,0,1
Roosevelt National Forest,5.7,1324,2,136,4.7,hike12,0,1,0,1,1,0,0,0,1,1,0,1
Chautauqua Park,2.8,1512,3,158,4.3,hike13,1,0,0,1,0,0,0,0,0,1,0,1
Rocky Mountain National Park,5.5,1494,3,208,4.1,hike14,0,1,0,1,0,1,0,0,1,1,0,1
White River National Forest,3.9,1384,2,186,4.4,hike15,0,1,0,1,1,0,1,0,0,1,0,1
North Cheyenne Park,5.2,1385,2,137,4.4,hike16,0,1,0,1,1,1,1,0,0,1,0,1
Red Rock Canyon Open Space,3.4,1003,1,153,4.3,hike17,1,0,0,1,1,0,0,0,0,1,0,1
Apex Open Space Park,7.5,1735,2,146,3.9,hike18,1,0,0,1,0,0,0,1,0,1,0,1
Alderfer / Three Sisters Park,6.9,1248,1,110,4.1,hike19,1,0,0,1,1,0,0,0,0,1,0,1
Rocky Mountain National Park,5.2,1061,2,132,4.4,hike20,0,1,0,0,1,0,1,1,0,1,0,0
Arapaho National Forest,1.4,438,1,175,4.4,hike21,0,1,0,1,1,1,0,0,1,0,0,1
Horsetooth Mountain Park,6.0,1685,2,162,4.1,hike22,1,0,0,1,0,0,1,0,0,1,0,1
Boulder Mountain Park,7.7,3019,3,104,4.5,hike23,0,1,0,1,0,0,0,0,0,1,0,1
White River National Forest,3.2,928,2,169,4.6,hike24,0,1,0,1,0,0,1,1,1,1,0,1
Red Rocks Park,4.5,755,1,78,4.0,hike25,1,0,0,1,1,0,0,0,0,0,0,1
Eldorado Canyon State Park,6.6,2253,2,96,4.2,hike26,0,1,0,1,1,0,0,0,0,1,0,1
Rocky Mountain National Park,8.4,1838,3,150,4.9,hike27,0,1,0,0,0,0,1,1,1,1,0,1
Roosevelt National Forest,5.4,1444,3,87,4.5,hike28,0,1,0,1,0,1,0,1,1,1,0,1
Jefferson County Open Space,4.2,961,2,159,4.0,hike29,1,0,0,0,0,0,0,0,0,0,0,0
Rocky Mountain National Park,1.7,312,1,129,4.3,hike30,0,1,0,0,1,0,1,1,0,1,0,1
White River National Forest,6.2,3347,3,152,4.3,hike31,0,1,0,1,0,1,0,1,1,1,0,1
Arapaho National Forest,6.4,1786,2,158,4.6,hike32,0,1,0,1,0,0,0,1,1,1,0,1
Pike National Forest,23.0,7508,3,106,4.5,hike33,0,1,0,1,0,1,0,1,0,1,0,1
Indian Peaks Wilderness,4.5,479,1,102,4.5,hike34,1,0,0,1,1,0,1,0,1,1,0,1
Rocky Mountain National Park,0.7,59,1,131,4.2,hike35,1,0,0,0,1,0,1,1,1,1,0,1
Indian Peaks Wilderness,3.6,853,2,122,4.3,hike36,0,1,0,1,0,0,0,0,1,1,0,1
Rocky Mountain National Park Wilderness,7.9,2584,2,80,4.7,hike37,0,1,0,0,0,0,1,0,1,0,0,1
Windy Saddle Open Space Park,11.5,2586,3,96,4.2,hike38,0,1,0,1,0,1,0,1,1,1,0,1
Red Rocks Park,1.5,388,1,130,3.9,hike39,1,0,0,1,1,0,0,0,0,0,0,1
Pike National Forest,4.9,952,2,113,4.6,hike40,0,1,0,1,1,1,0,0,0,1,0,1
Castlewood Canyon State Park,1.7,225,1,88,4.1,hike41,1,0,0,1,1,0,1,1,1,1,0,1
South Dinosaur Park,5.9,1190,3,72,4.0,hike42,1,0,0,1,0,0,0,0,0,1,0,1
Pike National Forest,5.5,732,2,119,4.3,hike43,1,0,0,1,1,0,0,0,0,1,0,1
North Cheyenne Park,1.8,499,1,123,4.2,hike44,0,1,0,1,1,0,0,0,0,1,0,1
Rocky Mountain National Park,13.6,4998,3,76,4.8,hike45,0,1,0,0,0,0,0,1,1,1,0,1
Arapaho National Forest,4.8,1592,3,88,4.5,hike46,0,1,0,1,0,0,1,1,0,1,0,1
Arapaho National Forest,3.9,1151,2,93,4.5,hike47,0,1,0,1,0,0,1,0,1,1,0,1
Arapaho National Forest,2.8,989,1,89,4.6,hike48,0,1,0,1,1,0,0,0,0,1,0,1
Maroon Bells Snowmass Wilderness,3.9,808,2,88,4.7,hike49,0,1,0,1,1,1,0,0,1,1,0,1
Boulder Mountain Park,6.0,2884,3,64,4.2,hike50,1,0,0,1,0,0,0,0,0,1,0,1
Echo Lake Park,8.7,1972,3,97,4.6,hike51,0,1,0,0,0,0,0,1,1,1,0,1
White River National Forest,3.3,459,1,103,4.0,hike52,0,1,0,1,1,0,0,0,1,1,0,0
Roosevelt National Forest,2.6,404,1,45,3.9,hike53,0,1,0,1,1,1,0,0,1,0,0,1
Indian Peaks Wilderness,28.6,7085,2,17,4.8,hike54,1,0,0,1,0,1,0,1,1,1,0,1
San Juan National Forest,6.1,2501,3,78,4.9,hike55,0,1,0,1,0,1,1,0,1,1,0,1
Lost Creek Wilderness,9.6,1656,2,35,4.5,hike56,0,1,0,1,0,0,0,0,0,1,0,1
Rocky Mountain National Park,11.4,2678,2,73,4.7,hike57,0,1,0,0,0,0,1,1,1,1,0,1
Rocky Mountain National Park,7.4,2492,3,70,4.6,hike58,0,1,0,0,0,0,0,0,0,0,0,1
Boulder Mountain Park,2.7,858,2,65,3.8,hike59,0,1,0,1,1,0,0,0,0,1,0,1
Gateway Mountain Park,7.4,2570,3,118,4.4,hike60,1,0,0,1,0,0,0,1,1,1,0,1
South Valley Park,3.0,377,1,72,4.1,hike61,1,0,0,1,1,0,0,0,0,1,0,1
Pike National Forest,7.6,3491,3,64,4.6,hike62,1,0,0,1,0,1,1,1,1,1,0,1
Boulder Mountain Park,6.9,1483,2,54,4.1,hike63,0,0,1,1,1,0,0,0,0,1,0,1
Mount Falcon Park,3.1,597,1,69,4.1,hike64,1,0,0,1,1,0,0,0,0,0,0,0
Pike National Forest,5.8,1853,2,67,4.2,hike65,0,1,0,1,1,0,1,0,0,1,0,1
Roxborough State Park,2.2,272,1,74,4.2,hike66,1,0,0,0,1,0,0,0,0,1,0,1
Eldorado Canyon State Park,3.5,1009,2,103,4.1,hike67,1,0,0,1,1,0,0,0,0,1,0,1
Garden of the Gods,4.2,785,1,87,4.1,hike68,1,0,0,1,1,0,0,0,0,1,0,1
Deer Creek Canyon Park,6.0,1446,2,76,4.1,hike69,1,0,0,1,0,0,1,0,0,0,0,1
Rocky Mountain National Park,5.7,1120,2,84,4.5,hike70,0,1,0,0,0,0,1,0,1,1,0,1
North Cheyenne Park,0.1,30,1,86,3.6,hike71,0,1,0,1,1,0,1,0,0,1,0,1
Colorow Mountain Park,6.9,1758,3,69,3.8,hike72,0,1,0,1,0,0,0,0,0,1,0,1
Walker Ranch Park,7.5,1943,3,68,4.4,hike73,1,0,0,1,0,0,0,0,0,1,0,1
Pike National Forest,4.1,1474,3,94,3.9,hike74,0,1,0,1,0,0,0,0,0,1,0,1
Palmer Park,7.9,1080,2,73,4.1,hike75,1,0,0,1,1,0,0,0,0,1,0,1
Uncompahgre National Forest,6.3,2491,2,45,4.9,hike76,0,1,0,1,0,1,1,1,1,1,0,1
White River National Forest,4.0,972,1,76,4.8,hike77,0,1,0,1,1,0,0,0,0,1,0,1
Arapaho National Forest,7.6,3622,3,53,4.3,hike78,1,0,0,1,0,0,0,1,0,1,0,1
Devil's Backbone Open Space,4.4,617,1,83,3.9,hike79,0,1,0,1,1,0,0,0,0,1,0,1
Mount Falcon Park,9.1,2036,1,49,3.9,hike80,1,0,0,1,1,0,0,0,0,1,0,1
Chatfield State Park,12.4,1049,1,60,3.8,hike81,0,1,0,0,1,0,0,1,0,1,0,0
Arapaho National Forest,6.2,1821,2,46,4.5,hike82,1,0,0,1,0,0,0,0,1,1,0,1
Arapaho National Forest,13.2,4500,3,64,4.7,hike83,0,1,0,1,0,0,0,1,0,0,0,1
Centennial Park,2.1,1002,1,34,4.1,hike84,1,0,0,1,1,0,0,0,0,1,0,1
Lory State Park,3.0,1163,2,84,4.2,hike85,0,1,0,1,0,0,0,0,0,1,0,1
Rocky Mountain National Park,7.3,1576,2,69,4.2,hike86,0,1,0,0,0,0,1,1,1,1,0,1
White Ranch Open Space Park,11.9,2723,3,42,4.0,hike87,1,0,0,1,0,0,0,0,0,0,0,0
Arapaho National Forest,8.1,1960,2,46,4.3,hike88,0,1,0,1,0,0,0,1,0,1,0,1
Golden Gate Canyon State Park,6.8,1687,2,59,4.5,hike89,1,0,0,1,0,0,0,1,0,1,0,1
Bear Creek Regional Park,5.2,2033,2,59,4.3,hike90,1,0,0,1,0,0,0,0,0,1,0,1
Boulder Mountain Park,7.8,3084,3,31,4.5,hike91,0,1,0,0,0,0,0,0,0,1,0,1
Pike National Forest,2.2,914,2,76,4.3,hike92,0,1,0,1,1,0,0,0,0,1,0,1
Pike National Forest,4.1,830,1,73,4.2,hike93,0,1,0,1,1,0,0,1,1,1,0,1
Pike National Forest,4.6,1198,2,61,4.5,hike94,0,1,0,1,1,0,0,0,0,1,0,1
Roosevelt National Forest,3.8,1465,2,67,4.1,hike95,0,1,0,1,0,0,0,0,0,1,0,1
Pike National Forest,6.6,2155,2,43,4.3,hike96,0,1,0,0,0,0,0,0,1,1,0,1
Routt National Forest,0.8,124,2,70,4.3,hike97,1,0,0,1,1,0,1,1,0,1,0,1
Deer Creek Canyon Park,9.8,2189,2,66,4.2,hike98,1,0,0,1,0,0,0,1,0,1,0,1
